FID,anzahl_els,anzahl_lp_ac,anzahl_lp_alle,anzahl_lp_dc,anzahl_stpl,aufstelldatum,bemerkung,stadtbezirk,standort,haupttyp,haupttyp_bedeutung,shape
opendata_ruhver_els_point.47,1,2,2,0,2,2018-04-11T00:00:00,,4,Kölner Platz 6,0,In Betrieb befindliche Ladesäulen,POINT (691647.9253008374 5338395.58739796)
opendata_ruhver_els_point.48,2,4,4,0,4,2017-07-21T00:00:00,,12,Hollandstraße 2,0,In Betrieb befindliche Ladesäulen,POINT (693056.3899008682 5338714.387797867)
opendata_ruhver_els_point.49,1,2,2,0,2,2017-03-17T00:00:00,,11,Knorrstr. 20,0,In Betrieb befindliche Ladesäulen,POINT (691279.8118008291 5339534.608197982)
opendata_ruhver_els_point.50,3,6,6,0,6,2018-08-08T00:00:00,,11,Griegstr. 9,0,In Betrieb befindliche Ladesäulen,POINT (691931.4774008433 5339766.28879794)
opendata_ruhver_els_point.51,2,4,4,0,4,2018-06-13T00:00:00,,12,"Marianne-Brandt-Straße, Ecke Lyonel-Feininger Straße",50,In Betrieb befindliche Ladesäulen an Mobilitätsstationen (ggf. mit Beschränkung „nur für Carsharing-Fahrzeuge“),POINT (692783.7138008621 5339648.600997883)
opendata_ruhver_els_point.52,2,4,4,0,4,2017-07-21T00:00:00,,12,Domagkstraße 56,0,In Betrieb befindliche Ladesäulen,POINT (693453.1600008769 5339590.892997837)
opendata_ruhver_els_point.53,1,2,2,0,2,2017-09-20T00:00:00,Ergänzung am 15.05.2019,12,Gertrud-Grunow-Str. 7,50,In Betrieb befindliche Ladesäulen an Mobilitätsstationen (ggf. mit Beschränkung „nur für Carsharing-Fahrzeuge“),POINT (693001.4542008666 5340006.492797866)
opendata_ruhver_els_point.54,2,4,4,0,4,2018-04-11T00:00:00,,12,Grasmeierstr./Ecke Ungererstr.,0,In Betrieb befindliche Ladesäulen,POINT (693865.9180008861 5339941.471797808)
opendata_ruhver_els_point.55,2,4,4,0,4,2017-09-01T00:00:00,,12,ggü. Floriansmühlstraße 17,0,In Betrieb befindliche Ladesäulen,POINT (694739.8443009057 5340928.200697743)
opendata_ruhver_els_point.56,1,2,2,0,2,2018-07-18T00:00:00,,11,Helene-Mayer-Ring 2,0,In Betrieb befindliche Ladesäulen,POINT (689789.6011007975 5339800.789998077)
opendata_ruhver_els_point.57,2,4,4,0,4,2017-07-14T00:00:00,,24,Blodigstraße 1,0,In Betrieb befindliche Ladesäulen,POINT (689892.463500799 5343193.976198064)
opendata_ruhver_els_point.58,1,2,2,0,2,2017-07-14T00:00:00,,24,Josef-Frankl-Straße 1,0,In Betrieb befindliche Ladesäulen,POINT (688667.3914007737 5343189.008798135)
